energy,frequency
0.241,1.441
0.24192,4.086
0.2703,1.393
0.27736,0.8632
0.29522,10.502
0.30009,1.208
0.328,1.243
0.3384,4.438
0.35199,20.3
0.4094,0.8251
0.463,1.714
0.51072,2.988
0.5623,0.3643
0.58314,11.42
0.60932,25.22
0.66162,6.262
0.66545,0.855
0.727,0.2947
0.72717,4.36
0.7552,0.4072
0.7633,0.2258
0.76836,2.672
0.7721,0.6001
0.782,0.2015
0.78542,1.478
0.78595,0.5962
0.7948,1.789
0.80617,0.6718
0.8304,0.2282
0.8356,0.6729
0.8402,0.3643
0.86047,1.594
0.89339,0.2439
0.9042,0.3215
0.91107,10.72
0.93405,1.7312
0.9646,2.015
0.9689,6.451
1.07862,0.3584
1.12028,8.226
1.15519,0.9244
1.23811,3.236
1.2471,0.209
1.28096,0.8062
1.37765,2.198
1.38531,0.4246
1.4015,0.7582
1.40798,1.355
1.4592,0.7692
1.46075,39.24
1.4958,0.388
1.5015,0.2143
1.50919,1.199
1.51275,0.2106
1.5802,0.2625
1.5879,1.372
1.62056,1.016
1.6304,0.7202
1.66128,0.629
1.7296,1.6668
1.76451,8.708
1.84744,1.1612
2.11854,0.6614
2.20412,2.732
2.44771,0.8494
2.61447,13.28
